D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.500000e-01,1.145000e+00,10,50,2,1.000000e+00,1000,10000,100

dtau,dtau2,deltaH
2.500000e-02,6.250000e-04,7.909188e-03
2.500000e-02,6.250000e-04,6.231318e-03
2.500000e-02,6.250000e-04,6.391266e-03
2.500000e-02,6.250000e-04,6.103970e-03
2.500000e-02,6.250000e-04,6.622760e-03
2.500000e-02,6.250000e-04,7.123509e-03
2.500000e-02,6.250000e-04,7.409478e-03
2.500000e-02,6.250000e-04,6.434886e-03
2.500000e-02,6.250000e-04,6.948713e-03
2.500000e-02,6.250000e-04,7.517356e-03
2.500000e-02,6.250000e-04,6.877473e-03
2.500000e-02,6.250000e-04,7.755407e-03
2.500000e-02,6.250000e-04,6.848433e-03
2.500000e-02,6.250000e-04,7.751397e-03
2.500000e-02,6.250000e-04,8.132224e-03
2.500000e-02,6.250000e-04,7.871020e-03
2.500000e-02,6.250000e-04,5.928218e-03
2.500000e-02,6.250000e-04,7.250156e-03
